term,b,se,t,pvalue,ll,ul
educ,.10633708,.01454497,7.3109174,1.3468118e-12,.077747263,.13492689
exper,.039651189,.013372078,2.9652228,.0031966618,.013366835,.065935545
expersq,-.00078987301,.00039463222,-2.0015421,.045975257,-.0015655679,-.00001417806
city,.051810652,.06838996,.75757688,.44912812,-.082617663,.18623896
kidslt6,-.05303273,.08471559,-.62600911,.53164822,-.21955095,.11348549
kidsge6,-.010983613,.026881028,-.40860096,.68304026,-.06382136,.041854132
_cons,-.49838486,.21441101,-2.3244369,.020577028,-.91983432,-.076935425
