term,b,se,z,pvalue,ll,ul
educ,.22117037,.04343963,5.0914421,3.5535035e-07,.13603026,.30631047
age,-.088024378,.014573012,-6.0402317,1.5389301e-09,-.11658695,-.059461795
kidslt6,-1.4433541,.20358488,-7.0896921,1.3441047e-12,-1.8423731,-1.0443351
kidsge6,.060112223,.074789748,.80374944,.42154169,-.086472996,.20669743
nwifeinc,-.021345174,.008421449,-2.53462,.011256934,-.037850913,-.0048394371
exper,.20586953,.032056913,6.4220009,1.3449461e-10,.14303914,.26869991
expersq,-.0031541041,.0010161113,-3.1040928,.001908635,-.0051456457,-.0011625623
_cons,.42545238,.86036968,.49449947,.6209535,-1.2608413,2.1117461
